seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,3,isSafe,1,0,10.0003,1865728,17663,0,0,0,0,inf,inf,0,0,0,0,130021,17660,0.135847,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,3,qpFixed,1,0,10.0013,1078582,3289,0,0,0,0,inf,inf,0,0,0.00643305,0,5217,2489,0.630439,0,0,0,1,0,0,1078582,330426039,1014259
1,bookshelf_tall,3,qpAdaptive,1,0,10.0015,1019242,3552,0,0,0,0,inf,inf,0,0,0.00735178,0.0889347,5718,2710,0.621196,0,0,0,0.910494,0.087854,0.00165222,1019242,314003127,1005208
1,bookshelf_tall,3,qpEnvelope,1,0,10.0002,1001177,3853,0,0,0,0,inf,inf,0,0,0.00813955,0.0172487,6335,2936,0.608208,0,0,0,0.982494,0.0152541,0.00225236,1001177,308184188,996368
1,bookshelf_tall,3,VAMP,1,1,0.000234541,5157,27,15.2483,9,764,0,0.00460542,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,83,isSafe,1,0,10.0003,2445628,24139,0,0,0,0,inf,inf,0,0,0,0,141137,24137,0.171032,0,0,0,0,0,0,0,0,0
1,table_under_pick,83,qpFixed,1,0,10.0005,1360410,4223,0,0,0,0,inf,inf,0,0,0.00647239,0,6661,3179,0.633989,0,0,0,1,0,0,1360410,413467499,1264366
1,table_under_pick,83,qpAdaptive,1,0,10.0006,1269147,4482,0,0,0,0,inf,inf,0,0,0.0074004,0.0816808,7210,3390,0.621637,0,0,0,0.917752,0.0805694,0.0016783,1269147,387766492,1249331
1,table_under_pick,83,qpEnvelope,1,0,10.0007,1254875,4786,0,0,0,0,inf,inf,0,0,0.00802259,0.00899372,7792,3638,0.61422,0,0,0,0.990799,0.00712503,0.00207591,1254875,382972862,1248430
1,table_under_pick,83,VAMP,1,1,6.6711e-05,1383,15,12.424,8,623,0,0.00785262,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
