seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.0094407,2027,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,18,8,0.666667,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.011075,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,229431,369
1,bookshelf_tall,1,qpPlain,1,1,0.0118012,932,9,10.881,764,764,0,0.00785175,0.00249477,0,0,0.0137536,0,2,2,4.5,0,0,0,1,0,0,932,318744,932
1,bookshelf_tall,1,qpAdaptive,1,1,0.00231272,246,9,10.8682,612,612,0,0.00785175,0.00249477,0,0,0.0520174,0.890244,2,2,4.5,0,0,0,0.105691,0.865854,0.0284553,246,66408,181
1,bookshelf_tall,1,qpFreeGate,1,1,0.012426,1758,11,10.4526,1057,1057,0,0.00420662,0.00249477,0,0,0.00670499,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpFreeEnvelope,1,1,0.00593477,290,21,12.076,624,624,0,0.00785175,0.00249477,0,0,0.108569,0.941379,36,16,0.583333,0,0,0,0.0278746,0.839721,0.132404,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.00109089,83,9,10.8745,573,573,0,0.00785175,0.00249477,0,0,0.154689,0.86747,2,2,4.5,0,0,0,0.13253,0.783133,0.0843373,83,23387,58
1,bookshelf_tall,1,VAMP,1,1,7.8263e-05,1438,12,11.9051,7,597,0,0.00542864,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,27,isSafe,1,1,0.0174847,3724,20,14.5973,9,731,0,0.00376789,0.00249477,0,0,0,0,57,14,0.350877,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,27,qpFixed,1,1,0.0167105,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,376535,686
1,bookshelf_tall,27,qpPlain,1,1,0.0167487,1315,15,13.1243,985,985,0,0.00392288,0.00249477,0,0,0.0121665,0,3,3,5,0,0,0,1,0,0,1315,449730,1315
1,bookshelf_tall,27,qpAdaptive,1,1,0.0063334,538,15,13.1235,788,788,0,0.00392288,0.00249477,0,0,0.0297061,0.48513,3,3,5,0,0,0,0.509294,0.468401,0.0223048,538,170785,463
1,bookshelf_tall,27,qpFreeGate,1,1,0.196848,27240,75,13.311,1481,1481,0,0.00481473,0.00216451,0,0,0.00446751,0,206,63,0.364078,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,27,qpFreeEnvelope,1,1,0.0633529,3192,140,11.2586,623,623,0,0.00025712,0.000463756,0,0,0.0700781,0.896617,445,128,0.314607,0,0,0,0.0680101,0.832179,0.0998111,0,0,0
1,bookshelf_tall,27,qpEnvelope,1,1,0.00332388,243,15,13.1783,710,710,0,0.00392288,0.00249477,0,0,0.0661418,0.37037,3,3,5,0,0,0,0.625514,0.325103,0.0493827,243,77527,214
1,bookshelf_tall,27,VAMP,1,1,0.000159427,4014,21,14.5973,9,731,0,0.00376789,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,51,isSafe,1,1,0.501258,105213,590,20.3433,12,1019,0,0.00186866,0.00249477,0,0,0,0,3232,587,0.18255,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,51,qpFixed,1,1,0.0327074,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110893,0,10,9,2.3,0,0,0,1,0,0,2562,713664,1417
1,bookshelf_tall,51,qpPlain,1,1,0.0334376,2568,23,16.2033,1338,1338,0,0.000173008,0.00231701,0,0,0.0110893,0,10,9,2.3,0,0,0,1,0,0,2562,876204,2562
1,bookshelf_tall,51,qpAdaptive,1,1,0.00982713,879,24,16.2464,974,974,0,0.000173008,0.00215955,0,0,0.0324514,0.559727,10,9,2.4,0,0,0,0.431844,0.544101,0.024055,873,263914,740
1,bookshelf_tall,51,qpFreeGate,1,1,1.51103,203043,483,22.1293,2114,2114,0,0.0035325,0.000740003,0,0,0.00394984,0,1676,480,0.288186,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,51,qpFreeEnvelope,1,1,0.21838,10271,465,22.4227,1168,1168,0,0.00317897,1.03673e-05,0,0,0.0768902,0.952974,1676,462,0.277446,0,0,0,0.00901258,0.826087,0.1649,0,0,0
1,bookshelf_tall,51,qpEnvelope,1,1,0.00523147,384,21,16.3363,895,895,0,0.000246471,0.00144286,0,0,0.0743652,0.424479,10,9,2.1,0,0,0,0.563492,0.388889,0.047619,378,116542,351
1,bookshelf_tall,51,VAMP,1,1,0.00646629,185036,647,23.667,14,1185,0,0.00186866,0.00158489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,76,isSafe,1,1,0.0298256,6157,33,16.1381,10,808,0,0.00515686,0.00249477,0,0,0,0,85,28,0.388235,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,76,qpFixed,1,1,0.0268118,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,550334,1845
1,bookshelf_tall,76,qpPlain,1,1,0.0271804,2014,13,14.7906,1230,1230,0,0.000330569,3.31852e-05,0,0,0.00982467,0,6,4,2.16667,0,0,0,1,0,0,2013,688446,2013
1,bookshelf_tall,76,qpAdaptive,1,1,0.0206697,1622,13,14.7964,1169,1169,0,0.000328158,3.32499e-05,0,0,0.0122176,0.196671,6,4,2.16667,0,0,0,0.801357,0.194941,0.00370142,1621,446905,1478
1,bookshelf_tall,76,qpFreeGate,1,1,0.0394644,5351,19,13.3868,1161,1161,0,0.00725937,0.00249477,0,0,0.00531875,0,29,13,0.655172,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,76,qpFreeEnvelope,1,1,0.00964863,482,31,17.7436,946,946,0,0.000577437,0.000220721,0,0,0.104155,0.815353,64,25,0.484375,0,0,0,0.121475,0.770065,0.10846,0,0,0
1,bookshelf_tall,76,qpEnvelope,1,1,0.0161954,1190,13,14.8489,1073,1073,0,0.000341044,3.24863e-05,0,0,0.0167471,0.0789916,6,4,2.16667,0,0,0,0.920942,0.0723297,0.00672834,1189,329332,1079
1,bookshelf_tall,76,VAMP,1,1,0.000214986,4994,33,16.1381,10,808,0,0.00515686,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,isSafe,1,1,0.0309787,4774,26,16.4444,10,824,0,0.00729709,0.00249477,0,0,0,0,68,22,0.382353,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,2,qpFixed,1,1,0.0262281,1557,15,11.2979,1007,1007,0,5.22848e-05,0.00249477,0,0,0.0110404,0,4,4,3.75,0,0,0,1,0,0,1555,416858,1319
1,bookshelf_thin,2,qpPlain,1,1,0.0263974,1557,15,11.2979,1007,1007,0,5.22848e-05,0.00249477,0,0,0.0110404,0,4,4,3.75,0,0,0,1,0,0,1555,531810,1555
1,bookshelf_thin,2,qpAdaptive,1,1,0.0147595,930,15,11.3199,856,856,0,5.22848e-05,0.00249477,0,0,0.018532,0.244086,4,4,3.75,0,0,0,0.75431,0.237069,0.00862069,928,255469,904
1,bookshelf_thin,2,qpFreeGate,1,1,0.0904859,10360,36,16.306,1300,1300,0,0.00729709,0.00180173,0,0,0.00538862,0,68,30,0.529412,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,2,qpFreeEnvelope,1,1,0.0146911,534,34,16.4637,848,848,0,0.00729709,0.000486252,0,0,0.106484,0.979401,68,30,0.5,0,0,0,0.00375235,0.838649,0.157598,0,0,0
1,bookshelf_thin,2,qpEnvelope,1,1,0.0121088,699,15,11.3673,800,800,0,5.07293e-05,0.00249477,0,0,0.0250577,0.121602,4,4,3.75,0,0,0,0.878049,0.110473,0.0114778,697,191882,689
1,bookshelf_thin,2,VAMP,1,1,9.1371e-05,1719,15,12.8172,8,642,0,0.00275662,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,26,isSafe,1,1,0.0153151,2446,14,14.5951,9,731,0,0.00523215,0.000225597,0,0,0,0,50,10,0.28,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,26,qpFixed,1,1,0.0704459,4340,36,12.5814,888,888,0,0.000110762,0.000225597,0,0,0.011245,0,16,12,2.25,0,0,0,1,0,0,4335,1232998,3125
1,bookshelf_thin,26,qpPlain,1,1,0.0711802,4340,36,12.5814,888,888,0,0.000110762,0.000225597,0,0,0.011245,0,16,12,2.25,0,0,0,1,0,0,4335,1482570,4335
1,bookshelf_thin,26,qpAdaptive,1,1,0.0371254,2435,36,13.8131,821,821,0,0.00127559,0.000225597,0,0,0.0206412,0.309651,16,13,2.25,0,0,0,0.68696,0.300288,0.012752,2431,714676,2225
1,bookshelf_thin,26,qpFreeGate,1,1,0.0486425,5554,23,16.089,1465,1465,0,0.00523215,0.000225597,0,0,0.00571016,0,51,17,0.45098,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,26,qpFreeEnvelope,1,1,0.0112047,424,24,18.8557,994,994,0,0.00471286,0.000225597,0,0,0.0799133,0.988208,51,17,0.470588,0,0,0,0,0.874704,0.125296,0,0,0
1,bookshelf_thin,26,qpEnvelope,1,1,0.0277467,1628,33,12.5687,750,750,0,0.000342646,0.000225597,0,0,0.0300368,0.125921,16,12,2.0625,0,0,0,0.872537,0.10899,0.0184729,1624,476841,1559
1,bookshelf_thin,26,VAMP,1,1,0.000125433,3645,15,14.5951,9,731,0,0.00523215,0.000225597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,50,isSafe,1,1,0.00894588,1454,9,9.93167,6,498,0,0.00314805,0.00249477,0,0,0,0,16,5,0.5625,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,50,qpFixed,1,1,0.0201595,1262,15,12.0706,975,975,0,0.00106974,0.00249477,0,0,0.0118702,0,4,4,3.75,0,0,0,1,0,0,1260,314153,836
1,bookshelf_thin,50,qpPlain,1,1,0.0207537,1262,15,12.0706,975,975,0,0.00106974,0.00249477,0,0,0.0118702,0,4,4,3.75,0,0,0,1,0,0,1260,430920,1260
1,bookshelf_thin,50,qpAdaptive,1,1,0.0076154,545,14,12.0694,784,784,0,0.00106974,0.00249477,0,0,0.0276202,0.416514,4,4,3.5,0,0,0,0.578269,0.399632,0.0220994,543,134858,487
1,bookshelf_thin,50,qpFreeGate,1,1,0.0221608,2543,12,11.5419,947,947,0,0.00314805,0.00249477,0,0,0.00651748,0,17,7,0.705882,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,50,qpFreeEnvelope,1,1,0.00382137,147,12,11.7419,615,615,0,0.0014291,0.00249477,0,0,0.112904,0.972789,17,7,0.705882,0,0,0,0.0205479,0.835616,0.143836,0,0,0
1,bookshelf_thin,50,qpEnvelope,1,1,0.00429072,267,15,12.0412,709,709,0,0.00106974,0.00249477,0,0,0.0561535,0.273408,4,4,3.75,0,0,0,0.716981,0.233962,0.0490566,265,65681,247
1,bookshelf_thin,50,VAMP,1,1,7.1827e-05,1337,11,11.1763,7,560,0,0.00314805,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,74,isSafe,1,1,0.103192,16366,79,18.0185,11,902,0,0.0048054,0.00249477,0,0,0,0,330,75,0.239394,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,74,qpFixed,1,1,0.00657403,433,5,5.6141,434,434,0,0.00531695,0.00249477,0,0,0.0129656,0,1,1,5,0,0,0,1,0,0,433,95197,100
1,bookshelf_thin,74,qpPlain,1,1,0.00688902,433,5,5.6141,434,434,0,0.00531695,0.00249477,0,0,0.0129656,0,1,1,5,0,0,0,1,0,0,433,148086,433
1,bookshelf_thin,74,qpAdaptive,1,1,0.00198904,125,5,5.6141,323,323,0,0.00531695,0.00249477,0,0,0.0449128,0.16,1,1,5,0,0,0,0.832,0.144,0.024,125,27136,100
1,bookshelf_thin,74,qpFreeGate,1,1,0.4309,48234,140,18.7824,1578,1578,0,0.00482006,0.00249477,0,0,0.00486513,0,393,132,0.356234,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,74,qpFreeEnvelope,1,1,0.0819463,2583,140,18.8439,980,980,0,0.000388647,0.00249477,0,0,0.0905668,0.96748,393,131,0.356234,0,0,0,0.00974279,0.839829,0.150429,0,0,0
1,bookshelf_thin,74,qpEnvelope,1,1,0.00183091,110,5,5.61585,317,317,0,0.00531695,0.00249477,0,0,0.0510532,0.118182,1,1,5,0,0,0,0.881818,0.0909091,0.0272727,110,23459,98
1,bookshelf_thin,74,VAMP,1,1,0.000871108,23663,85,18.0185,11,902,0,0.0048054,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,99,isSafe,1,1,0.0575364,9180,47,18.2696,11,915,0,0.00364622,0.00249477,0,0,0,0,172,43,0.273256,0,0,0,0,0,0,0,0,0
1,bookshelf_thin,99,qpFixed,1,1,0.0107523,677,7,7.36677,678,678,0,0.00364622,0.00249477,0,0,0.0108815,0,1,1,7,0,0,0,1,0,0,677,182337,373
1,bookshelf_thin,99,qpPlain,1,1,0.0109469,677,7,7.36677,678,678,0,0.00364622,0.00249477,0,0,0.0108815,0,1,1,7,0,0,0,1,0,0,677,231534,677
1,bookshelf_thin,99,qpAdaptive,1,1,0.003287,245,7,7.36512,484,484,0,0.00364622,0.00249477,0,0,0.0300617,0.534694,1,1,7,0,0,0,0.465306,0.514286,0.0204082,245,67920,203
1,bookshelf_thin,99,qpFreeGate,1,1,0.245878,27779,81,18.9607,1660,1660,0,0.00298683,0.000360835,0,0,0.0045622,0,189,66,0.428571,0,0,0,1,0,0,0,0,0
1,bookshelf_thin,99,qpFreeEnvelope,1,1,0.0318332,1228,81,17.0555,881,881,0,0.00046286,0.00249477,0,0,0.0980163,0.854235,186,64,0.435484,0,0,0,0.070132,0.796205,0.133663,0,0,0
1,bookshelf_thin,99,qpEnvelope,1,1,0.000876248,55,7,7.36042,396,396,0,0.00364622,0.00249477,0,0,0.133826,0.709091,1,1,7,0,0,0,0.290909,0.618182,0.0909091,55,14810,47
1,bookshelf_thin,99,VAMP,1,1,0.000416604,9690,48,18.2696,11,915,0,0.00364622,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,23,isSafe,1,1,0.00437761,1167,8,11.417,7,572,0,0.00178715,0.00249477,0,0,0,0,10,4,0.8,0,0,0,0,0,0,0,0,0
1,table_under_pick,23,qpFixed,1,1,0.00406584,362,6,4.78384,363,363,0,0.00415682,0.00249477,0,0,0.013215,0,1,1,6,0,0,0,1,0,0,362,104968,317
1,table_under_pick,23,qpPlain,1,1,0.00415107,362,6,4.78384,363,363,0,0.00415682,0.00249477,0,0,0.013215,0,1,1,6,0,0,0,1,0,0,362,123804,362
1,table_under_pick,23,qpAdaptive,1,1,0.00235205,229,6,4.78796,345,345,0,0.0041333,0.00249477,0,0,0.0209081,0.467249,1,1,6,0,0,0,0.524017,0.462882,0.0131004,229,65011,215
1,table_under_pick,23,qpFreeGate,1,1,0.00920056,1460,8,6.86841,705,705,0,0.00179563,0.00249477,0,0,0.00502842,0,9,4,0.888889,0,0,0,1,0,0,0,0,0
1,table_under_pick,23,qpFreeEnvelope,1,1,0.00134823,85,7,7.0881,382,382,0,0.00177526,0.00249477,0,0,0.0876372,0.964706,9,4,0.777778,0,0,0,0.0352941,0.811765,0.152941,0,0,0
1,table_under_pick,23,qpEnvelope,1,1,0.000909855,86,6,4.80584,280,280,0,0.00409651,0.00249477,0,0,0.0558819,0.639535,1,1,6,0,0,0,0.360465,0.593023,0.0465116,86,24547,81
1,table_under_pick,23,VAMP,1,1,3.3632e-05,952,8,11.417,7,572,0,0.00178715,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,47,isSafe,1,1,0.00939506,2599,15,16.3999,10,821,0,0.000414642,0.00249477,0,0,0,0,79,11,0.189873,0,0,0,0,0,0,0,0,0
1,table_under_pick,47,qpFixed,1,1,0.0512017,4349,31,10.7959,723,723,0,0.00479995,0.00249477,0,0,0.0114945,0,16,15,1.9375,0,0,0,1,0,0,4347,1192658,3784
1,table_under_pick,47,qpPlain,1,1,0.0496021,4349,31,10.7959,723,723,0,0.00479995,0.00249477,0,0,0.0114945,0,16,15,1.9375,0,0,0,1,0,0,4347,1486674,4347
1,table_under_pick,47,qpAdaptive,1,1,0.0275972,2655,31,10.7898,686,686,0,0.00479635,0.00249477,0,0,0.0188297,0.394727,16,15,1.9375,0,0,0,0.60196,0.389747,0.0082925,2653,734517,2560
1,table_under_pick,47,qpFreeGate,1,1,0.0766811,12182,30,14.8514,1215,1215,0,0.00422123,0.00249477,0,0,0.00350391,0,96,26,0.3125,0,0,0,1,0,0,0,0,0
1,table_under_pick,47,qpFreeEnvelope,1,1,0.0121008,697,27,15.3151,797,797,0,0.00361479,0.00249477,0,0,0.0614258,0.956958,97,23,0.278351,0,0,0,0.0144092,0.855908,0.129683,0,0,0
1,table_under_pick,47,qpEnvelope,1,1,0.0158599,1393,31,12.421,681,681,0,0.00487091,0.00249477,0,0,0.0355439,0.329505,16,15,1.9375,0,0,0,0.665708,0.312006,0.0222861,1391,384307,1359
1,table_under_pick,47,VAMP,1,1,0.000124432,4682,15,16.3999,10,821,0,0.000414642,0.00249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,72,isSafe,1,1,0.00562653,1502,10,12.7411,8,639,0,0.00312138,0.0023639,0,0,0,0,12,4,0.833333,0,0,0,0,0,0,0,0,0
1,table_under_pick,72,qpFixed,1,1,0.00820759,757,8,10.545,758,758,0,0.00743981,8.85589e-05,0,0,0.0139299,0,1,1,8,0,0,0,1,0,0,757,218397,488
1,table_under_pick,72,qpPlain,1,1,0.00810457,757,8,10.545,758,758,0,0.00743981,8.85589e-05,0,0,0.0139299,0,1,1,8,0,0,0,1,0,0,757,258894,757
1,table_under_pick,72,qpAdaptive,1,1,0.00349323,341,8,10.5527,650,650,0,0.00743823,8.56693e-05,0,0,0.0309463,0.331378,1,1,8,0,0,0,0.668622,0.319648,0.0117302,341,99946,284
1,table_under_pick,72,qpFreeGate,1,1,0.0154553,2442,17,12.493,1268,1268,0,0.00646644,0.00249477,0,0,0.00664918,0,12,7,1.41667,0,0,0,1,0,0,0,0,0
1,table_under_pick,72,qpFreeEnvelope,1,1,0.00257231,156,17,12.2834,663,663,0,0.00480297,0.00249477,0,0,0.103356,0.987179,12,7,1.41667,0,0,0,0,0.839744,0.160256,0,0,0
1,table_under_pick,72,qpEnvelope,1,1,0.000736072,49,8,10.6431,558,558,0,0.00743798,0.000931431,0,0,0.217206,0.836735,1,1,8,0,0,0,0.163265,0.714286,0.122449,49,14183,38
1,table_under_pick,72,VAMP,1,1,4.333e-05,817,9,13.8972,8,696,0,0.00312138,0.000140402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,table_under_pick,96,isSafe,1,1,0.0031815,876,7,8.64683,6,434,0,0.00338192,0.00249477,0,0,0,0,4,2,1.75,0,0,0,0,0,0,0,0,0
1,table_under_pick,96,qpFixed,1,1,0.0215512,1924,16,14.0126,1143,1143,0,0.00168635,0.00249477,0,0,0.0111372,0,4,4,4,0,0,0,1,0,0,1924,528907,1436
