seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks,hop_floored,hop_at_region,hop_edge_limited,qp_calls,qp_rows,qp_solves
1,bookshelf_tall,1,isSafe,1,1,0.00495484,1092,8,10.752,7,539,0,0.00785175,0.00249477,0,0,0,0,7,3,1.14286,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,1,qpFixed,1,1,0.0067468,933,9,10.8782,764,764,0,0.00785175,0.00249477,0,0,0.0137386,0,2,2,4.5,0,0,0,1,0,0,933,231877,373
1,bookshelf_tall,1,qpPlain,1,1,0.00725181,933,9,10.8782,764,764,0,0.00785175,0.00249477,0,0,0.0137386,0,2,2,4.5,0,0,0,1,0,0,933,320019,933
1,bookshelf_tall,1,qpAdaptive,1,1,0.00211346,253,9,10.8646,620,620,0,0.00785175,0.00249477,0,0,0.050572,0.885375,2,2,4.5,0,0,0,0.106719,0.865613,0.027668,253,68542,181
1,bookshelf_tall,1,qpFreeGate,1,1,0.0119003,1739,11,10.4251,1048,1048,0,0.00519655,0.00249477,0,0,0.0067723,0,7,5,1.57143,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,1,qpEnvelope,1,1,0.000926775,84,9,10.8663,571,571,0,0.00785175,0.00249477,0,0,0.152928,0.857143,2,2,4.5,0,0,0,0.130952,0.785714,0.0833333,84,23795,60
1,bookshelf_tall,8,isSafe,1,1,0.0147052,3179,18,12.7542,8,639,0,0.00427847,0.00249477,0,0,0,0,38,13,0.473684,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,8,qpFixed,1,1,0.0110659,1384,12,12.2351,934,934,0,0.0020392,0.00249477,0,0,0.0121202,0,2,2,6,0,0,0,1,0,0,1384,368534,832
1,bookshelf_tall,8,qpPlain,1,1,0.0117033,1384,12,12.2351,934,934,0,0.0020392,0.00249477,0,0,0.0121202,0,2,2,6,0,0,0,1,0,0,1384,474712,1384
1,bookshelf_tall,8,qpAdaptive,1,1,0.00739637,820,12,12.2442,774,774,0,0.00204185,0.00249477,0,0,0.0204692,0.17561,2,2,6,0,0,0,0.823171,0.170732,0.00609756,820,219145,767
1,bookshelf_tall,8,qpFreeGate,1,1,0.0395885,5711,24,14.8587,1382,1382,0,0.00427847,0.00249477,0,0,0.00635071,0,38,17,0.631579,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,8,qpEnvelope,1,1,0.00577103,600,12,12.2738,686,686,0,0.00201913,0.00249477,0,0,0.0280325,0.0983333,2,2,6,0,0,0,0.901667,0.0883333,0.01,600,155333,585
1,bookshelf_tall,15,isSafe,1,1,0.105966,22917,118,16.3734,10,820,0,0.00376763,0.00249477,0,0,0,0,904,114,0.130531,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,15,qpFixed,1,1,0.025559,3163,21,14.9183,1340,1340,0,0.00162764,0.00249477,0,0,0.0103478,0,9,8,2.33333,0,0,0,1,0,0,3163,827665,2539
1,bookshelf_tall,15,qpPlain,1,1,0.0270517,3163,21,14.9183,1340,1340,0,0.00162764,0.00249477,0,0,0.0103478,0,9,8,2.33333,0,0,0,1,0,0,3163,1084909,3163
1,bookshelf_tall,15,qpAdaptive,1,1,0.0191576,2141,21,14.952,1096,1096,0,0.00162562,0.00249477,0,0,0.0153189,0.161607,9,8,2.33333,0,0,0,0.837926,0.157403,0.00467071,2141,580796,2088
1,bookshelf_tall,15,qpFreeGate,1,1,0.192465,27885,54,20.3535,1957,1957,0,0.00242994,0.00249477,0,0,0.00333576,0,190,45,0.284211,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,15,qpEnvelope,1,1,0.0160184,1718,24,14.7022,906,906,0,0.00140959,0.00249477,0,0,0.0203507,0.0628638,9,9,2.66667,0,0,0,0.935972,0.0547148,0.00931315,1718,471697,1686
1,bookshelf_tall,23,isSafe,1,1,0.00677062,1491,10,10.1824,7,511,0,0.00392397,0.00249477,0,0,0,0,20,6,0.5,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,23,qpFixed,1,1,0.00680417,866,8,8.51128,644,644,0,0.00824879,0.00249477,0,0,0.0125664,0,2,2,4,0,0,0,1,0,0,866,253033,467
1,bookshelf_tall,23,qpPlain,1,1,0.00698087,866,8,8.51128,644,644,0,0.00824879,0.00249477,0,0,0.0125664,0,2,2,4,0,0,0,1,0,0,866,297038,866
1,bookshelf_tall,23,qpAdaptive,1,1,0.00370094,425,8,8.50924,523,523,0,0.00824879,0.00249477,0,0,0.0256029,0.494118,2,2,4,0,0,0,0.503529,0.482353,0.0141176,425,128209,363
1,bookshelf_tall,23,qpFreeGate,1,1,0.02635,3816,13,10.9922,928,928,0,0.00394801,0.00249477,0,0,0.00536358,0,21,7,0.619048,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,23,qpEnvelope,1,1,0.0015716,155,8,8.5048,473,473,0,0.00724308,0.00249477,0,0,0.070263,0.587097,2,2,4,0,0,0,0.406452,0.548387,0.0451613,155,46796,134
1,bookshelf_tall,31,isSafe,1,0,10.01,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,31,qpFixed,1,0,10.0002,1200321,4957,0,0,0,0,inf,inf,0,0,0.00747813,0,19459,4955,0.254741,0,0,0,1,0,0,1200321,355802984,1066451
1,bookshelf_tall,31,qpPlain,1,0,10.0004,1192039,4932,0,0,0,0,inf,inf,0,0,0.0074874,0,19323,4930,0.25524,0,0,0,1,0,0,1192039,408869377,1192039
1,bookshelf_tall,31,qpAdaptive,1,0,10.0003,1120984,5807,0,0,0,0,inf,inf,0,0,0.00930376,0.119649,23145,5805,0.250897,0,0,0,0.877653,0.119002,0.00334451,1120984,335241608,1092383
1,bookshelf_tall,31,qpFreeGate,1,0,10.001,1421950,4191,0,0,0,0,inf,inf,0,0,0.00350053,0,30327,4189,0.138194,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,31,qpEnvelope,1,0,10.001,1098219,6316,0,0,0,0,inf,inf,0,0,0.0103156,0.0293685,25385,6314,0.248808,0,0,0,0.969874,0.0260534,0.00407244,1098219,327746513,1088339
1,bookshelf_tall,38,isSafe,1,0,10.0054,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,38,qpFixed,1,0,10.0004,1188488,4978,0,0,0,0,inf,inf,0,0,0.00750374,0,19329,4976,0.25754,0,0,0,1,0,0,1188488,353388238,1062028
1,bookshelf_tall,38,qpPlain,1,0,10.0014,1193015,4998,0,0,0,0,inf,inf,0,0,0.00750066,0,19407,4996,0.257536,0,0,0,1,0,0,1193015,409204145,1193015
1,bookshelf_tall,38,qpAdaptive,1,0,10.0012,1123465,5857,0,0,0,0,inf,inf,0,0,0.0092604,0.12091,23129,5855,0.253232,0,0,0,0.87629,0.120374,0.00333532,1123465,337196214,1095473
1,bookshelf_tall,38,qpFreeGate,1,0,10.0007,1429701,4246,0,0,0,0,inf,inf,0,0,0.00349086,0,29919,4244,0.141917,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,38,qpEnvelope,1,0,10.0001,1103535,6429,0,0,0,0,inf,inf,0,0,0.0103428,0.0305083,25655,6427,0.250594,0,0,0,0.968718,0.0272412,0.00404048,1103535,330604641,1093779
1,bookshelf_tall,45,isSafe,1,0,10.0007,2,1,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,45,qpFixed,1,0,10.0001,1205779,5234,0,0,0,0,inf,inf,0,0,0.00769591,0,19717,5232,0.265456,0,0,0,1,0,0,1205779,357861223,1053862
1,bookshelf_tall,45,qpPlain,1,0,10.0002,1194704,5183,0,0,0,0,inf,inf,0,0,0.00770136,0,19525,5181,0.265455,0,0,0,1,0,0,1194704,409783472,1194704
1,bookshelf_tall,45,qpAdaptive,1,0,10.0009,1129365,6073,0,0,0,0,inf,inf,0,0,0.00948093,0.105428,23297,6071,0.260677,0,0,0,0.892084,0.104556,0.00335989,1129365,337902734,1096980
1,bookshelf_tall,45,qpFreeGate,1,0,10,1424462,4676,0,0,0,0,inf,inf,0,0,0.00380405,0,30209,4674,0.154788,0,0,0,1,0,0,0,0,0
1,bookshelf_tall,45,qpEnvelope,1,0,10.0003,1108861,6579,0,0,0,0,inf,inf,0,0,0.0104197,0.0198474,25315,6577,0.259885,0,0,0,0.97965,0.0164772,0.00387289,1108861,331255601,1097863
1,bookshelf_tall,52,isSafe,1,1,0.163997,35899,191,10.1278,7,508,0,0.00334816,0.00249477,0,0,0,0,1556,187,0.122751,0,0,0,0,0,0,0,0,0
1,bookshelf_tall,52,qpFixed,1,1,0.0115594,1414,14,11.1373,1010,1010,31,-0.00068327,0.00249477,0,0,0.0104778,0,3,3,4.66667,0,0,0,1,0,0,1414,421661,1000
1,bookshelf_tall,52,qpPlain,1,1,0.0116967,1414,14,11.1373,1010,1010,31,-0.00068327,0.00249477,0,0,0.0104778,0,3,3,4.66667,0,0,0,1,0,0,1414,485002,1414
