seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction,primary_samples,productive_samples,vertices_per_sample,picard_attempts,picard_accepted,picard_fallbacks
1,bookshelf_tall_both_arms_easy,1,isSafe,1,0,5.00012,794066,24875,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,cbfRRTC,1,1,0.127364,10242,303,15.6174,1172,1172,0,0.00426288,0.0365097,0,0,0.0147789,0.0132787,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,1,VAMP,1,0,5.00006,2610808,52799,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,isSafe,1,1,0.347861,69925,2202,26.9171,1345,1345,0,0.000471484,0.0282998,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,cbfRRTC,1,1,0.217366,16666,486,20.1436,1513,1513,0,0.00383327,0.071768,0,0,0.0155258,0.0144006,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,3,VAMP,1,1,0.0131406,63480,1376,17.7117,885,885,0,0.000331361,0.00064623,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,isSafe,1,1,0.256012,51165,1613,20.607,1030,1030,0,0.000688022,0.0885233,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,cbfRRTC,1,1,0.192065,15498,476,19.1804,1430,1430,0,0.00405822,0.00936985,0,0,0.0160503,0.0129694,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,4,VAMP,1,1,0.0225133,95656,2191,26.8389,1341,1341,83,-0.00387567,0.00634563,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,isSafe,1,1,0.247096,50083,1576,24.6447,1232,1232,0,0.00163384,0.0291116,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,cbfRRTC,1,1,0.861284,49170,1388,19.341,1434,1434,0,0.00107263,0.00939257,0,0,0.0140973,0.00650803,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,5,VAMP,1,1,0.100754,245648,5661,18.7635,938,938,86,-0.00391403,0.049246,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,isSafe,1,1,0.0741162,15488,489,19.8501,992,992,0,0.000239464,0.0091198,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,cbfRRTC,1,1,0.0813592,4945,160,13.3092,1032,1032,0,0.00580844,0.00502294,0,0,0.0165014,0.0206269,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,6,VAMP,1,1,0.0162956,77880,1718,18.838,941,941,58,-0.00366038,0.00124319,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,isSafe,1,0,5.00019,785293,24832,0,0,0,0,inf,inf,0,0,0,0,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,cbfRRTC,1,1,0.635641,56923,1637,21.5553,1682,1682,0,0.00363323,0.00509047,0,0,0.0146231,0.00871353,0,0,0,0,0,0
1,bookshelf_tall_both_arms_easy,7,VAMP,1,1,1.9836,1375672,32518,35.1621,1758,1758,49,-0.0039168,0.00975718,0,0,0,0,0,0,0,0,0,0
