seed,scene,problem,method,eligible,solved,seconds,samples,vertices,path_length,waypoints,audited_states,unsafe_states,min_clearance,min_self_overlap,self_colliding,misses,rad_per_call,coarse_fraction
1,bookshelf_tall,1,isSafe,1,1,0.00114713,1272,14,13.0991,8,656,0,0.00385175,0.00249477,0,0,0,0
1,bookshelf_tall,1,bubbleCBF,1,1,0.000373555,151,7,8.19531,463,463,0,0.00159552,0.00249477,0,0,0.0542736,0.317881
1,bookshelf_tall,1,VAMP,1,1,6.1551e-05,1430,10,12.0032,8,602,2,-0.00306561,0.00249477,0,0,0,0
1,bookshelf_tall,2,isSafe,1,1,0.0031537,3527,41,20.1589,12,1009,0,0.00209964,0.00249477,0,0,0,0
1,bookshelf_tall,2,bubbleCBF,1,1,0.000249168,113,8,8.45324,492,492,0,0.00125501,0.00249477,0,0,0.0748075,0.300885
1,bookshelf_tall,2,VAMP,1,1,0.000348765,10080,50,16.8057,10,842,0,0.00531366,0.00249477,0,0,0,0
1,bookshelf_tall,8,isSafe,1,1,0.000845033,917,13,11.2076,7,562,0,0.000278469,0.00249477,0,0,0,0
1,bookshelf_tall,8,bubbleCBF,1,1,0.000289889,127,7,8.39484,482,482,0,0.000278469,0.00249477,0,0,0.0661011,0.370079
1,bookshelf_tall,8,VAMP,1,1,0.000124403,3276,20,15.2744,9,765,0,0.000278469,0.00249477,0,0,0,0
1,bookshelf_tall,9,isSafe,1,1,0.00096307,1054,15,16.2526,10,814,14,-0.00224995,0.00249477,0,0,0,0
1,bookshelf_tall,9,bubbleCBF,1,1,0.00182611,656,23,12.1443,754,754,1,-0.00224995,0.00249477,0,0,0.0340986,0.0594512
1,bookshelf_tall,9,VAMP,1,1,0.000548237,18245,76,12.3636,8,620,2,-0.00224995,0.00249477,0,0,0,0
1,bookshelf_tall,10,isSafe,1,1,0.00100211,1109,14,9.9575,6,499,1,-3.43804e-05,0.00249477,0,0,0,0
1,bookshelf_tall,10,bubbleCBF,1,1,0.00321225,1145,20,20.8942,1342,1342,1,-3.43804e-05,0.00249477,0,0,0.0290406,0.0707424
1,bookshelf_tall,10,VAMP,1,1,4.5063e-05,1342,8,9.49149,6,476,8,-0.000544566,0.00249477,0,0,0,0
1,bookshelf_tall,11,isSafe,1,1,0.00251137,2811,34,10.7873,7,541,0,0.00215429,0.00249477,0,0,0,0
1,bookshelf_tall,11,bubbleCBF,1,1,0.00107631,405,17,10.6628,723,723,0,0.00215429,0.00249477,0,0,0.0289968,0.0765432
1,bookshelf_tall,11,VAMP,1,1,0.000318018,11109,49,22.6633,13,1135,6,-0.00274983,0.00249477,0,0,0,0
1,bookshelf_tall,15,isSafe,1,1,0.00493065,5509,64,15.7807,9,791,0,0.0035865,0.00249477,0,0,0,0
1,bookshelf_tall,15,bubbleCBF,1,1,0.00164321,580,18,12.4855,836,836,0,0.000429813,0.00249477,0,0,0.0286365,0.0103448
1,bookshelf_tall,15,VAMP,1,1,0.000156853,3991,24,18.9712,11,950,0,0.000420488,0.00249477,0,0,0,0
1,bookshelf_tall,17,isSafe,1,1,0.000784329,860,12,13.426,8,673,0,0.000965609,0.00249477,0,0,0,0
1,bookshelf_tall,17,bubbleCBF,1,1,0.000538636,195,8,7.73357,496,496,3,-0.00027167,0.00249477,0,0,0.0396593,0.0974359
1,bookshelf_tall,17,VAMP,1,1,0.000205775,5851,31,13.9068,8,697,0,0.000965609,0.00249477,0,0,0,0
1,bookshelf_tall,19,isSafe,1,1,0.000310964,325,6,7.62615,5,383,0,0.00164195,0.00249477,0,0,0,0
1,bookshelf_tall,19,bubbleCBF,1,1,0.00145776,506,14,9.09022,574,574,0,0.000567044,0.00249477,0,0,0.030083,0.0158103
